"CURR_ID","CURR_NAME","UNIV_MASTER_NAME","LEVEL_DESC","ISCED_2013","ISCED_BROAD_FIELD_NAME","ISCED_BOARD_FIELD_NAME_TH"
"25070041100024","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเกษตรศาสตร์","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","08-081-0810","Agriculture, forestry,fisheries and veterinary ","เกษตรศาสตร์ วนศาสตร์ การประมงและสัตวแพทย์"
"25070041100035","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาประวัติศาสตร์","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","02-022-0222","Arts and humanities","ศิลปะและมนุษยศาสตร์"
"25080041100014","หลักสูตรรัฐศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","03-031-0312","Social sciences, journalism and information ","สังคมศาสตร์ , วารสารศาสตร์และ สารสนเทศ"
"25090041100015","หลักสูตรทันตแพทยศาสตรบัณฑิต","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","09-091-0911","Health and welfare ","สุขภาพและสวัสดิการ"
"25090041100026","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","03-031-0313","Social sciences, journalism and information ","สังคมศาสตร์ , วารสารศาสตร์และ สารสนเทศ"
"25100021100025","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพฤกษศาสตร์","มหาวิทยาลัยเกษตรศาสตร์","ปริญญาโท","05-051-0511","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
"25100021100036","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาชีววิทยา","มหาวิทยาลัยเกษตรศาสตร์","ปริญญาโท","05-051-0511","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
"25100041100016","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์","มหาวิทยาลัยเชียงใหม่","ปริญญาตรี","05-054-0541","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
"25110011100025","หลักสูตรสถิติศาสตรบัณฑิต","จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาตรี","05-054-0542","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
"25110021100015","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพืชสวน","มหาวิทยาลัยเกษตรศาสตร์","ปริญญาโท","08-081-0812","Agriculture, forestry,fisheries and veterinary ","เกษตรศาสตร์ วนศาสตร์ การประมงและสัตวแพทย์"
"25120061100022","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพยาธิชีววิทยา (หลักสูตรนานาชาติ)","มหาวิทยาลัยมหิดล","ปริญญาโท","05-051-0511","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
"25120061100033","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาสรีรวิทยา (หลักสูตรนานาชาติ)","มหาวิทยาลัยมหิดล","ปริญญาเอก","09-091-0912","Health and welfare ","สุขภาพและสวัสดิการ"
"25120561100016","หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการจัดการทรัพยากรมนุษย์","มหาวิทยาลัยหอการค้าไทย","ปริญญาตรี","04-041-0413","Business, administration and law","การบริหารธุรกิจ และนิติศาสตร์"
"25130011100062","หลักสูตรครุศาสตรมหาบัณฑิต สาขาวิชาสถิติและสารสนเทศการศึกษา","จุฬาลงกรณ์มหาวิทยาลัย","ปริญญาโท","01-011-0114","Education","การศึกษา"
"25130061100023","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาชีวเคมีและชีววิทยาโมเลกุลทางการแพทย์ (หลักสูตรนานาชาติ)","มหาวิทยาลัยมหิดล","ปริญญาเอก","05-051-0512","Natural sciences,mathematics and statistics ","วิทยาศาสตร์ธรรมชาติ, คณิตศาสตร์และสถิติ"
