จังหวัด,ประเภทสถานศึกษา,ชื่อสถานศึกษา,ระดับชั้น,ประเภทนักเรียน,ประเภทวิชา,สาขาวิชา,สาขางาน,จำนวน,หน่วย
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,การบัญชี,16,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,อุตสาหกรรม,ช่างไฟฟ้า,ช่างไฟฟ้า,19,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,อุตสาหกรรม,ช่างยนต์,ช่างยนต์,51,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,อุตสาหกรรมดิจิทัลและเทคโนโลยีสารสนเทศ,เทคโนโลยีธุรกิจดิจิทัล,เทคโนโลยีธุรกิจดิจิทัล,19,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,อุตสาหกรรมท่องเที่ยว,การท่องเที่ยว,การท่องเที่ยว,5,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.1,ปกติ,อุตสาหกรรมท่องเที่ยว,การโรงแรม,การโรงแรม,24,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,การบัญชี,10,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,อุตสาหกรรม,ช่างไฟฟ้า,ช่างไฟฟ้า,11,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,อุตสาหกรรม,ช่างยนต์,ช่างยนต์,37,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,อุตสาหกรรมดิจิทัลและเทคโนโลยีสารสนเทศ,เทคโนโลยีธุรกิจดิจิทัล,เทคโนโลยีธุรกิจดิจิทัล,17,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,อุตสาหกรรมท่องเที่ยว,การท่องเที่ยว,การท่องเที่ยว,12,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.2,ปกติ,อุตสาหกรรมท่องเที่ยว,การโรงแรม,การโรงแรม,12,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.3,ปกติ,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,การบัญชี,14,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.3,ปกติ,พาณิชยกรรม/บริหารธุรกิจ,คอมพิวเตอร์ธุรกิจ,คอมพิวเตอร์ธุรกิจ,20,คน
กระบี่,รัฐ,วิทยาลัยการอาชีพคลองท่อม,ปวช.3,ปกติ,อุตสาหกรรม,ช่างไฟฟ้ากำลัง,ไฟฟ้ากำลัง,20,คน
